Web Search interest: Aston Villa F.C.
Worldwide Past 12 months

Interest over time
Week,Aston Villa F.C.
2015-01-11 - 2015-01-17,32
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,24
2015-02-01 - 2015-02-07,68
2015-02-08 - 2015-02-14,39
2015-02-15 - 2015-02-21,31
2015-02-22 - 2015-02-28,18
2015-03-01 - 2015-03-07,39
2015-03-08 - 2015-03-14,30
2015-03-15 - 2015-03-21,23
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,43
2015-04-05 - 2015-04-11,51
2015-04-12 - 2015-04-18,26
2015-04-19 - 2015-04-25,83
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,24
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,21
2015-05-24 - 2015-05-30,86
2015-05-31 - 2015-06-06,34
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,15
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,21
2015-07-12 - 2015-07-18,24
2015-07-19 - 2015-07-25,27
2015-07-26 - 2015-08-01,33
2015-08-02 - 2015-08-08,35
2015-08-09 - 2015-08-15,100
2015-08-16 - 2015-08-22,30
2015-08-23 - 2015-08-29,30
2015-08-30 - 2015-09-05,20
2015-09-06 - 2015-09-12,14
2015-09-13 - 2015-09-19,31
2015-09-20 - 2015-09-26,37
2015-09-27 - 2015-10-03,23
2015-10-04 - 2015-10-10,12
2015-10-11 - 2015-10-17,28
2015-10-18 - 2015-10-24,23
2015-10-25 - 2015-10-31,31
2015-11-01 - 2015-11-07,39
2015-11-08 - 2015-11-14,31
2015-11-15 - 2015-11-21,15
2015-11-22 - 2015-11-28,19
2015-11-29 - 2015-12-05,16
2015-12-06 - 2015-12-12,16
2015-12-13 - 2015-12-19,43
2015-12-20 - 2015-12-26,25
2015-12-27 - 2016-01-02,27
2016-01-03 - 2016-01-09, 

Interest over time
Week,Sports,Aston Villa F.C.
2015-01-11 - 2015-01-17,+0%,+0%
2015-01-18 - 2015-01-24,+1%,-41%
