Web Search interest: Crystal Palace F.C.
Worldwide Past 12 months

Interest over time
Week,Crystal Palace F.C.
2015-01-11 - 2015-01-17,30
2015-01-18 - 2015-01-24,26
2015-01-25 - 2015-01-31,28
2015-02-01 - 2015-02-07,26
2015-02-08 - 2015-02-14,52
2015-02-15 - 2015-02-21,46
2015-02-22 - 2015-02-28,33
2015-03-01 - 2015-03-07,27
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,12
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,89
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,21
2015-04-26 - 2015-05-02,21
2015-05-03 - 2015-05-09,100
2015-05-10 - 2015-05-16,50
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,9
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,10
2015-06-21 - 2015-06-27,9
2015-06-28 - 2015-07-04,9
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,17
2015-07-26 - 2015-08-01,21
2015-08-02 - 2015-08-08,44
2015-08-09 - 2015-08-15,32
2015-08-16 - 2015-08-22,74
2015-08-23 - 2015-08-29,69
2015-08-30 - 2015-09-05,37
2015-09-06 - 2015-09-12,45
2015-09-13 - 2015-09-19,26
2015-09-20 - 2015-09-26,41
2015-09-27 - 2015-10-03,46
2015-10-04 - 2015-10-10,16
2015-10-11 - 2015-10-17,22
2015-10-18 - 2015-10-24,21
2015-10-25 - 2015-10-31,78
2015-11-01 - 2015-11-07,23
2015-11-08 - 2015-11-14,41
2015-11-15 - 2015-11-21,12
2015-11-22 - 2015-11-28,45
2015-11-29 - 2015-12-05,18
2015-12-06 - 2015-12-12,53
2015-12-13 - 2015-12-19,26
2015-12-20 - 2015-12-26,28
2015-12-27 - 2016-01-02,40
2016-01-03 - 2016-01-09, 

Interest over time
Week,Team Sports,Crystal Palace F.C.
2015-01-11 - 2015-01-17,+0%,+0%
2015-01-18 - 2015-01-24,-1%,-13%
2015-01-25 - 2015-01-31,-6%,-7%
2015-02-01 - 2015-02-07,+4%,-13%
2015-02-08 - 2015-02-14,-13%,+73%
2015-02-15 - 2015-02-21,-1%,+53%
2015-02-22 - 2015-02-28,-2%,+10%
2015-03-01 - 2015-03-07,-2%,-10%
2015-03-08 - 2015-03-14,+7%,-13%
2015-03-15 - 2015-03-21,+12%,-30%
2015-03-22 - 2015-03-28,+4%,-60%
2015-03-29 - 2015-04-04,-14%,-57%
2015-04-05 - 2015-04-11,+0%,+197%
2015-04-12 - 2015-04-18,+4%,-10%
2015-04-19 - 2015-04-25,+6%,-30%
2015-04-26 - 2015-05-02,+7%,-30%
2015-05-03 - 2015-05-09,+8%,+233%
2015-05-10 - 2015-05-16,+10%,+67%
2015-05-17 - 2015-05-23,-2%,-27%
2015-05-24 - 2015-05-30,-1%,-47%
2015-05-31 - 2015-06-06,-4%,-70%
2015-06-07 - 2015-06-13,+1%,-73%
2015-06-14 - 2015-06-20,-2%,-67%
2015-06-21 - 2015-06-27,-11%,-70%
2015-06-28 - 2015-07-04,-12%,-70%
2015-07-05 - 2015-07-11,-11%,-47%
2015-07-12 - 2015-07-18,-13%,-47%
