Web Search interest: Manchester City F.C.
Worldwide Past 12 months

Interest over time
Week,Manchester City F.C.
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,59
2015-01-25 - 2015-01-31,51
2015-02-01 - 2015-02-07,33
2015-02-08 - 2015-02-14,25
2015-02-15 - 2015-02-21,33
2015-02-22 - 2015-02-28,100
2015-03-01 - 2015-03-07,50
2015-03-08 - 2015-03-14,28
2015-03-15 - 2015-03-21,94
2015-03-22 - 2015-03-28,19
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,74
2015-04-19 - 2015-04-25,29
2015-04-26 - 2015-05-02,20
2015-05-03 - 2015-05-09,25
2015-05-10 - 2015-05-16,25
2015-05-17 - 2015-05-23,21
2015-05-24 - 2015-05-30,21
2015-05-31 - 2015-06-06,13
2015-06-07 - 2015-06-13,12
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,15
2015-06-28 - 2015-07-04,16
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,58
2015-07-26 - 2015-08-01,35
2015-08-02 - 2015-08-08,26
2015-08-09 - 2015-08-15,53
2015-08-16 - 2015-08-22,78
2015-08-23 - 2015-08-29,52
2015-08-30 - 2015-09-05,30
2015-09-06 - 2015-09-12,29
2015-09-13 - 2015-09-19,78
2015-09-20 - 2015-09-26,48
2015-09-27 - 2015-10-03,46
2015-10-04 - 2015-10-10,23
2015-10-11 - 2015-10-17,23
2015-10-18 - 2015-10-24,42
2015-10-25 - 2015-10-31,73
2015-11-01 - 2015-11-07,31
2015-11-08 - 2015-11-14,27
2015-11-15 - 2015-11-21,37
2015-11-22 - 2015-11-28,65
2015-11-29 - 2015-12-05,41
2015-12-06 - 2015-12-12,37
2015-12-13 - 2015-12-19,26
2015-12-20 - 2015-12-26,88
2015-12-27 - 2016-01-02,72
2016-01-03 - 2016-01-09, 

Interest over time
Week,Team Sports,Manchester City F.C.
2015-01-11 - 2015-01-17,+0%,+0%
2015-01-18 - 2015-01-24,+0%,+111%
2015-01-25 - 2015-01-31,-6%,+82%
2015-02-01 - 2015-02-07,+4%,+18%
2015-02-08 - 2015-02-14,-12%,-11%
2015-02-15 - 2015-02-21,+0%,+18%
2015-02-22 - 2015-02-28,-2%,+257%
2015-03-01 - 2015-03-07,-2%,+79%
2015-03-08 - 2015-03-14,+7%,+0%
2015-03-15 - 2015-03-21,+13%,+236%
2015-03-22 - 2015-03-28,+4%,-32%
2015-03-29 - 2015-04-04,-14%,-46%
2015-04-05 - 2015-04-11,+0%,+71%
2015-04-12 - 2015-04-18,+4%,+164%
2015-04-19 - 2015-04-25,+7%,+4%
2015-04-26 - 2015-05-02,+7%,-29%
2015-05-03 - 2015-05-09,+8%,-11%
2015-05-10 - 2015-05-16,+10%,-11%
2015-05-17 - 2015-05-23,-2%,-25%
2015-05-24 - 2015-05-30,-1%,-25%
2015-05-31 - 2015-06-06,-4%,-54%
2015-06-07 - 2015-06-13,+0%,-57%
2015-06-14 - 2015-06-20,-2%,-50%
2015-06-21 - 2015-06-27,-10%,-46%
2015-06-28 - 2015-07-04,-12%,-43%
2015-07-05 - 2015-07-11,-11%,-39%
2015-07-12 - 2015-07-18,-12%,+11%
2015-07-19 - 2015-07-25,-13%,+107%
2015-07-26 - 2015-08-01,-12%,+25%
2015-08-02 - 2015-08-08,-10%,-7%
2015-08-09 - 2015-08-15,-1%,+89%
2015-08-16 - 2015-08-22,+0%,+179%
2015-08-23 - 2015-08-29,+2%,+86%
2015-08-30 - 2015-09-05,+0%,+7%
2015-09-06 - 2015-09-12,-1%,+4%
2015-09-13 - 2015-09-19,+13%,+179%
2015-09-20 - 2015-09-26,+13%,+71%
2015-09-27 - 2015-10-03,+11%,+64%
2015-10-04 - 2015-10-10,+11%,-18%
2015-10-11 - 2015-10-17,+20%,-18%
2015-10-18 - 2015-10-24,+16%,+50%
2015-10-25 - 2015-10-31,+12%,+161%
2015-11-01 - 2015-11-07,+10%,+11%
2015-11-08 - 2015-11-14,-1%,-4%
2015-11-15 - 2015-11-21,+0%,+32%
2015-11-22 - 2015-11-28,+5%,+132%
2015-11-29 - 2015-12-05,-2%,+46%
2015-12-06 - 2015-12-12,+0%,+32%
2015-12-13 - 2015-12-19,-5%,-7%
2015-12-20 - 2015-12-26,-8%,+214%
2015-12-27 - 2016-01-02,-4%,+157%
2016-01-03 - 2016-01-09, , 


Top regions for Manchester City F.C.
Region,Manchester City F.C.
South Sudan,100
Sierra Leone,49
Kenya,38
Malawi,32
Uganda,27
Zimbabwe,24
Zambia,17
Ethiopia,15
Tanzania,13
Nigeria,13
Jamaica,11
Ghana,10
Mauritius,9
Congo (DRC),8
United Kingdom,7
Nepal,6
Senegal,6
Côte d’Ivoire,5
Trinidad & Tobago,5
Ireland,5
