Web Search interest: Southampton F.C.
Worldwide Past 12 months

Interest over time
Week,Southampton F.C.
2015-01-11 - 2015-01-17,100
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,40
2015-02-08 - 2015-02-14,34
2015-02-15 - 2015-02-21,18
2015-02-22 - 2015-02-28,46
2015-03-01 - 2015-03-07,24
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,47
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,17
2015-04-05 - 2015-04-11,16
2015-04-12 - 2015-04-18,17
2015-04-19 - 2015-04-25,24
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,14
2015-05-10 - 2015-05-16,27
2015-05-17 - 2015-05-23,17
2015-05-24 - 2015-05-30,17
2015-05-31 - 2015-06-06,9
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,11
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,14
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,21
2015-07-26 - 2015-08-01,22
2015-08-02 - 2015-08-08,31
2015-08-09 - 2015-08-15,41
2015-08-16 - 2015-08-22,23
2015-08-23 - 2015-08-29,23
2015-08-30 - 2015-09-05,21
2015-09-06 - 2015-09-12,15
2015-09-13 - 2015-09-19,18
2015-09-20 - 2015-09-26,92
2015-09-27 - 2015-10-03,44
2015-10-04 - 2015-10-10,29
2015-10-11 - 2015-10-17,15
2015-10-18 - 2015-10-24,13
2015-10-25 - 2015-10-31,36
2015-11-01 - 2015-11-07,23
2015-11-08 - 2015-11-14,11
2015-11-15 - 2015-11-21,12
2015-11-22 - 2015-11-28,21
2015-11-29 - 2015-12-05,59
2015-12-06 - 2015-12-12,16
2015-12-13 - 2015-12-19,19
2015-12-20 - 2015-12-26,55
2015-12-27 - 2016-01-02,50
2016-01-03 - 2016-01-09, 

Interest over time
Week,Team Sports,Southampton F.C.
2015-01-11 - 2015-01-17,+0%,+0%
2015-01-18 - 2015-01-24,+0%,-70%
2015-01-25 - 2015-01-31,-6%,-79%
2015-02-01 - 2015-02-07,+4%,-60%
2015-02-08 - 2015-02-14,-12%,-66%
2015-02-15 - 2015-02-21,+0%,-82%
2015-02-22 - 2015-02-28,-2%,-54%
2015-03-01 - 2015-03-07,-2%,-76%
2015-03-08 - 2015-03-14,+7%,-86%
2015-03-15 - 2015-03-21,+13%,-53%
2015-03-22 - 2015-03-28,+4%,-87%
2015-03-29 - 2015-04-04,-14%,-83%
2015-04-05 - 2015-04-11,+0%,-84%
2015-04-12 - 2015-04-18,+4%,-83%
2015-04-19 - 2015-04-25,+7%,-76%
2015-04-26 - 2015-05-02,+7%,-83%
2015-05-03 - 2015-05-09,+8%,-86%
2015-05-10 - 2015-05-16,+10%,-73%
2015-05-17 - 2015-05-23,-2%,-83%
2015-05-24 - 2015-05-30,-1%,-83%
2015-05-31 - 2015-06-06,-4%,-91%
2015-06-07 - 2015-06-13,+0%,-92%
2015-06-14 - 2015-06-20,-2%,-89%
