Web Search interest: Stoke City F.C.
Worldwide Past 12 months

Interest over time
Week,Stoke City F.C.
2015-01-11 - 2015-01-17,52
2015-01-18 - 2015-01-24,11
2015-01-25 - 2015-01-31,22
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,40
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,14
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,12
2015-03-15 - 2015-03-21,12
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,47
2015-04-05 - 2015-04-11,41
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,12
2015-04-26 - 2015-05-02,12
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,11
2015-05-24 - 2015-05-30,42
2015-05-31 - 2015-06-06,7
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,9
2015-06-21 - 2015-06-27,7
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,11
2015-07-12 - 2015-07-18,20
2015-07-19 - 2015-07-25,13
2015-07-26 - 2015-08-01,17
2015-08-02 - 2015-08-08,29
2015-08-09 - 2015-08-15,100
2015-08-16 - 2015-08-22,26
2015-08-23 - 2015-08-29,22
2015-08-30 - 2015-09-05,12
2015-09-06 - 2015-09-12,38
2015-09-13 - 2015-09-19,26
2015-09-20 - 2015-09-26,19
2015-09-27 - 2015-10-03,15
2015-10-04 - 2015-10-10,11
2015-10-11 - 2015-10-17,9
2015-10-18 - 2015-10-24,25
2015-10-25 - 2015-10-31,65
2015-11-01 - 2015-11-07,54
2015-11-08 - 2015-11-14,25
2015-11-15 - 2015-11-21,12
2015-11-22 - 2015-11-28,15
2015-11-29 - 2015-12-05,56
2015-12-06 - 2015-12-12,26
2015-12-13 - 2015-12-19,20
2015-12-20 - 2015-12-26,86
2015-12-27 - 2016-01-02,60
2016-01-03 - 2016-01-09, 

Interest over time
Week,Team Sports,Stoke City F.C.
2015-01-11 - 2015-01-17,+0%,+0%
2015-01-18 - 2015-01-24,+0%,-79%
2015-01-25 - 2015-01-31,-6%,-58%
2015-02-01 - 2015-02-07,+4%,-75%
2015-02-08 - 2015-02-14,-12%,-23%
2015-02-15 - 2015-02-21,+0%,-69%
2015-02-22 - 2015-02-28,-2%,-73%
2015-03-01 - 2015-03-07,-2%,-65%
2015-03-08 - 2015-03-14,+7%,-77%
2015-03-15 - 2015-03-21,+13%,-77%
2015-03-22 - 2015-03-28,+4%,-85%
2015-03-29 - 2015-04-04,-14%,-10%
2015-04-05 - 2015-04-11,+0%,-21%
2015-04-12 - 2015-04-18,+4%,-73%
2015-04-19 - 2015-04-25,+7%,-77%
2015-04-26 - 2015-05-02,+7%,-77%
2015-05-03 - 2015-05-09,+8%,-67%
2015-05-10 - 2015-05-16,+10%,-71%
2015-05-17 - 2015-05-23,-2%,-79%
2015-05-24 - 2015-05-30,-1%,-19%
2015-05-31 - 2015-06-06,-4%,-87%
2015-06-07 - 2015-06-13,+0%,-88%
2015-06-14 - 2015-06-20,-2%,-83%
2015-06-21 - 2015-06-27,-10%,-87%
2015-06-28 - 2015-07-04,-12%,-79%
2015-07-05 - 2015-07-11,-11%,-79%
2015-07-12 - 2015-07-18,-12%,-62%
2015-07-19 - 2015-07-25,-13%,-75%
2015-07-26 - 2015-08-01,-12%,-67%
2015-08-02 - 2015-08-08,-10%,-44%
2015-08-09 - 2015-08-15,-1%,+92%
2015-08-16 - 2015-08-22,+0%,-50%
2015-08-23 - 2015-08-29,+2%,-58%
2015-08-30 - 2015-09-05,+0%,-77%
2015-09-06 - 2015-09-12,-1%,-27%
2015-09-13 - 2015-09-19,+13%,-50%
2015-09-20 - 2015-09-26,+13%,-63%
2015-09-27 - 2015-10-03,+11%,-71%
2015-10-04 - 2015-10-10,+11%,-79%
2015-10-11 - 2015-10-17,+20%,-83%
2015-10-18 - 2015-10-24,+16%,-52%
2015-10-25 - 2015-10-31,+12%,+25%
2015-11-01 - 2015-11-07,+10%,+4%
2015-11-08 - 2015-11-14,-1%,-52%
2015-11-15 - 2015-11-21,+0%,-77%
2015-11-22 - 2015-11-28,+5%,-71%
2015-11-29 - 2015-12-05,-2%,+8%
2015-12-06 - 2015-12-12,+0%,-50%
2015-12-13 - 2015-12-19,-5%,-62%
2015-12-20 - 2015-12-26,-8%,+65%
2015-12-27 - 2016-01-02,-4%,+15%
2016-01-03 - 2016-01-09, , 


Top regions for Stoke City F.C.
Region,Stoke City F.C.
Kenya,100
Uganda,54
Nigeria,30
United Kingdom,23
Ireland,13
Singapore,10
South Africa,9
Indonesia,8
Norway,7
Switzerland,6
Austria,6
Malaysia,6
Netherlands,4
Australia,4
Sweden,3
Spain,2
Vietnam,2
Italy,2
Canada,2
India,1
Russia,1
Thailand,1
Germany,1
France,1
United States,1
Poland,1
Mexico,1
Turkey,1
Brazil,1


Top cities for Stoke City F.C.
City,Stoke City F.C.
Stoke-on-Trent (United Kingdom),100
Tittensor (United Kingdom),77
Congleton (United Kingdom),34
Nairobi (Kenya),11
Kampala (Uganda),6
Lagos (Nigeria),4
Liverpool (United Kingdom),3
Manchester (United Kingdom),3
Birmingham (United Kingdom),3
Accra (Ghana),3
Dar es Salaam (Tanzania),3
London (United Kingdom),2
Sheffield (United Kingdom),2
Leeds (United Kingdom),2
Dublin (Ireland),1



Top searches for Stoke City F.C.
stoke,100
stoke city,65
stoke chelsea,15
liverpool stoke,10
arsenal stoke,10
stoke vs chelsea,10
chelsea stoke city,10
stoke fc,5
everton,5
everton stoke,5
stoke vs arsenal,5
stoke vs liverpool,5
arsenal stoke city,5
stoke city liverpool,5
stoke city fc,5
stoke manchester city,5
stoke man city,5
stoke fixtures,5
stoke manchester united,5
tottenham stoke,5
stoke vs everton,5
leicester city,5
stoke city fixtures,5
сток сити,0
stoke goal,0
newcastle vs stoke,0
stoke vs tottenham,0
stoke v chelsea,0
stoke city results,0
stoke city news,0
stoke v liverpool,0
stoke squad,0
arsenal v stoke,0
oatcake,0
oatcake stoke,0
chelsea vs everton,0
arsenal vs liverpool,0



Rising searches for Stoke City F.C.
shaqiri stoke,Breakout
leicester city,+130%
arsenal stoke highlights,+70%
everton v stoke,+70%
stoke vs everton,+70%
arnautovic,+60%
stoke city f.c.,+60%
stoke city roster,+60%
everton,+50%
everton stoke,+50%



