Web Search interest: West Ham United F.C.
Worldwide Past 12 months

Interest over time
Week,West Ham United F.C.
2015-01-11 - 2015-01-17,47
2015-01-18 - 2015-01-24,33
2015-01-25 - 2015-01-31,46
2015-02-01 - 2015-02-07,33
2015-02-08 - 2015-02-14,77
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,44
2015-03-01 - 2015-03-07,38
2015-03-08 - 2015-03-14,36
2015-03-15 - 2015-03-21,28
2015-03-22 - 2015-03-28,14
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,29
2015-04-26 - 2015-05-02,19
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,18
2015-05-17 - 2015-05-23,17
2015-05-24 - 2015-05-30,28
2015-05-31 - 2015-06-06,16
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,21
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,27
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,33
2015-07-26 - 2015-08-01,33
2015-08-02 - 2015-08-08,43
2015-08-09 - 2015-08-15,100
2015-08-16 - 2015-08-22,33
2015-08-23 - 2015-08-29,51
2015-08-30 - 2015-09-05,33
2015-09-06 - 2015-09-12,18
2015-09-13 - 2015-09-19,68
2015-09-20 - 2015-09-26,47
2015-09-27 - 2015-10-03,24
2015-10-04 - 2015-10-10,17
2015-10-11 - 2015-10-17,20
2015-10-18 - 2015-10-24,54
2015-10-25 - 2015-10-31,40
2015-11-01 - 2015-11-07,27
2015-11-08 - 2015-11-14,18
2015-11-15 - 2015-11-21,18
2015-11-22 - 2015-11-28,39
2015-11-29 - 2015-12-05,49
2015-12-06 - 2015-12-12,29
2015-12-13 - 2015-12-19,20
2015-12-20 - 2015-12-26,34
2015-12-27 - 2016-01-02,66
2016-01-03 - 2016-01-09, 

Interest over time
Week,Team Sports,West Ham United F.C.
2015-01-11 - 2015-01-17,+0%,+0%
2015-01-18 - 2015-01-24,-1%,-30%
2015-01-25 - 2015-01-31,-6%,-2%
2015-02-01 - 2015-02-07,+4%,-30%
2015-02-08 - 2015-02-14,-12%,+64%
2015-02-15 - 2015-02-21,-1%,-53%
2015-02-22 - 2015-02-28,-2%,-6%
2015-03-01 - 2015-03-07,-2%,-19%
2015-03-08 - 2015-03-14,+7%,-23%
2015-03-15 - 2015-03-21,+13%,-40%
2015-03-22 - 2015-03-28,+4%,-70%
2015-03-29 - 2015-04-04,-14%,-66%
2015-04-05 - 2015-04-11,+0%,-62%
2015-04-12 - 2015-04-18,+4%,-70%
2015-04-19 - 2015-04-25,+7%,-38%
2015-04-26 - 2015-05-02,+7%,-60%
2015-05-03 - 2015-05-09,+8%,-64%
2015-05-10 - 2015-05-16,+10%,-62%
2015-05-17 - 2015-05-23,-2%,-64%
2015-05-24 - 2015-05-30,-1%,-40%
2015-05-31 - 2015-06-06,-4%,-66%
2015-06-07 - 2015-06-13,+0%,-53%
2015-06-14 - 2015-06-20,-2%,-55%
2015-06-21 - 2015-06-27,-10%,-47%
2015-06-28 - 2015-07-04,-12%,-26%
2015-07-05 - 2015-07-11,-11%,-43%
2015-07-12 - 2015-07-18,-12%,-34%
2015-07-19 - 2015-07-25,-13%,-30%
2015-07-26 - 2015-08-01,-11%,-30%
2015-08-02 - 2015-08-08,-10%,-9%
2015-08-09 - 2015-08-15,-1%,+113%
2015-08-16 - 2015-08-22,-1%,-30%
2015-08-23 - 2015-08-29,+2%,+9%
2015-08-30 - 2015-09-05,+0%,-30%
2015-09-06 - 2015-09-12,-1%,-62%
2015-09-13 - 2015-09-19,+13%,+45%
2015-09-20 - 2015-09-26,+13%,+0%
2015-09-27 - 2015-10-03,+11%,-49%
2015-10-04 - 2015-10-10,+11%,-64%
2015-10-11 - 2015-10-17,+20%,-57%
2015-10-18 - 2015-10-24,+16%,+15%
2015-10-25 - 2015-10-31,+11%,-15%
2015-11-01 - 2015-11-07,+8%,-43%
2015-11-08 - 2015-11-14,-1%,-62%
2015-11-15 - 2015-11-21,+0%,-62%
2015-11-22 - 2015-11-28,+4%,-17%
2015-11-29 - 2015-12-05,-2%,+4%
2015-12-06 - 2015-12-12,-1%,-38%
2015-12-13 - 2015-12-19,-5%,-57%
2015-12-20 - 2015-12-26,-8%,-28%
2015-12-27 - 2016-01-02,-4%,+40%
2016-01-03 - 2016-01-09, , 


Top regions for West Ham United F.C.
Region,West Ham United F.C.
Kenya,100
United Kingdom,70
Uganda,65
Nigeria,31
Ireland,30
Croatia,15
Singapore,13
Norway,12
Indonesia,10
South Africa,10
Australia,9
New Zealand,8
Malaysia,7
Denmark,7
Sweden,6
Netherlands,5
Belgium,4
Greece,4
Italy,4
Romania,4
Spain,3
Thailand,3
Vietnam,3
France,3
Canada,2
Ukraine,2
Germany,2
Poland,2
Turkey,2
India,2
Colombia,2
Russia,2
Argentina,2
United States,2
Mexico,1
Brazil,1


Top cities for West Ham United F.C.
City,West Ham United F.C.
Romford (United Kingdom),100
Basildon (United Kingdom),86
Great Dunmow (United Kingdom),65
Southend-on-Sea (United Kingdom),50
Ilford (United Kingdom),44
Ipswich (United Kingdom),16
Nairobi (Kenya),15
London (United Kingdom),13
Norwich (United Kingdom),11
Liverpool (United Kingdom),7
Manchester (United Kingdom),6
Birmingham (United Kingdom),6
Leeds (United Kingdom),5
Lagos (Nigeria),5
Dublin (Ireland),4



Top searches for West Ham United F.C.
west ham,100
west ham united,15
westham,10
arsenal west ham,10
liverpool west ham,5
chelsea west ham,5
west ham fixtures,5
everton,5
west ham live,5
everton west ham,5
west ham football,5
tottenham west ham,5
west ham fc,5
whufc,5
newcastle west ham,5
bbc west ham,5
west ham utd,5
west ham news,5
west ham tickets,5
aston villa,0
west ham score,0
crystal palace,0
west ham sunderland,0
west ham results,0
west ham tv,0
stoke city,0
west ham team,0
arsenal westham,0
вест хэм,0
west ham match,0
westham united,0
west ham kit,0
west ham players,0
spurs west ham,0
west ham online,0
west ham squad,0
arsenal vs westham,0
newcastle united,0
west ham shop,0
west ham twitter,0
westham vs chelsea,0
west ham newsnow,0



