Web Search interest: arsenal f.c.
Worldwide Past 12 months

Interest over time
Week,arsenal f.c.
2015-01-04 - 2015-01-10,18
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,23
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,34
2015-02-08 - 2015-02-14,26
2015-02-15 - 2015-02-21,27
2015-02-22 - 2015-02-28,27
2015-03-01 - 2015-03-07,28
2015-03-08 - 2015-03-14,35
2015-03-15 - 2015-03-21,39
2015-03-22 - 2015-03-28,7
2015-03-29 - 2015-04-04,20
2015-04-05 - 2015-04-11,20
2015-04-12 - 2015-04-18,26
2015-04-19 - 2015-04-25,12
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,21
2015-05-10 - 2015-05-16,22
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,35
2015-05-31 - 2015-06-06,8
2015-06-07 - 2015-06-13,1
2015-06-14 - 2015-06-20,2
2015-06-21 - 2015-06-27,1
2015-06-28 - 2015-07-04,1
2015-07-05 - 2015-07-11,1
2015-07-12 - 2015-07-18,1
2015-07-19 - 2015-07-25,1
2015-07-26 - 2015-08-01,13
2015-08-02 - 2015-08-08,32
2015-08-09 - 2015-08-15,27
2015-08-16 - 2015-08-22,22
2015-08-23 - 2015-08-29,24
2015-08-30 - 2015-09-05,7
2015-09-06 - 2015-09-12,19
2015-09-13 - 2015-09-19,41
2015-09-20 - 2015-09-26,43
2015-09-27 - 2015-10-03,29
2015-10-04 - 2015-10-10,21
2015-10-11 - 2015-10-17,17
2015-10-18 - 2015-10-24,46
2015-10-25 - 2015-10-31,46
2015-11-01 - 2015-11-07,35
2015-11-08 - 2015-11-14,19
2015-11-15 - 2015-11-21,16
2015-11-22 - 2015-11-28,28
2015-11-29 - 2015-12-05,32
2015-12-06 - 2015-12-12,31
2015-12-13 - 2015-12-19,23
2015-12-20 - 2015-12-26,60
2015-12-27 - 2016-01-02,100


Top regions for arsenal f.c.
Region,arsenal f.c.
Kenya,100
Nigeria,38
Malaysia,27
United Kingdom,22
India,8
Indonesia,7
Australia,6
Canada,4
United States,3


Top cities for arsenal f.c.
City,arsenal f.c.
Kampala (Uganda),100
Nairobi (Kenya),84
Dar es Salaam (Tanzania),79
Kingston (Jamaica),72
Accra (Ghana),39
Lagos (Nigeria),32
London (United Kingdom),30
Kuala Lumpur (Malaysia),28
Birmingham (United Kingdom),25
Manchester (United Kingdom),22
Cape Town (South Africa),19
Dublin (Ireland),18
Sandton (South Africa),17
Singapore (Singapore),17
Bangalore (India),14



Top searches for arsenal f.c.
chelsea f.c.,100
manchester united f.c.,80
liverpool f.c.,50
arsenal f.c. news,50
manchester city f.c.,40
arsenal f.c. live,25
arsenal f.c. fixtures,25
tottenham hotspur f.c.,10



Rising searches for arsenal f.c.
manchester city f.c.,+80%
chelsea f.c.,+70%
arsenal f.c. fixtures,+60%
manchester united f.c.,+50%
arsenal f.c. live,+40%



