Web Search interest: Aston Villa F.C.
Worldwide Past 12 months

Interest over time
Week,Aston Villa F.C.
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,36
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,25
2015-02-01 - 2015-02-07,67
2015-02-08 - 2015-02-14,40
2015-02-15 - 2015-02-21,32
2015-02-22 - 2015-02-28,19
2015-03-01 - 2015-03-07,39
2015-03-08 - 2015-03-14,31
2015-03-15 - 2015-03-21,24
2015-03-22 - 2015-03-28,14
2015-03-29 - 2015-04-04,42
2015-04-05 - 2015-04-11,52
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,88
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,25
2015-05-10 - 2015-05-16,30
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,85
2015-05-31 - 2015-06-06,35
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,23
2015-07-12 - 2015-07-18,26
2015-07-19 - 2015-07-25,29
2015-07-26 - 2015-08-01,35
2015-08-02 - 2015-08-08,36
2015-08-09 - 2015-08-15,100
2015-08-16 - 2015-08-22,31
2015-08-23 - 2015-08-29,32
2015-08-30 - 2015-09-05,21
2015-09-06 - 2015-09-12,16
2015-09-13 - 2015-09-19,33
2015-09-20 - 2015-09-26,44
2015-09-27 - 2015-10-03,24
2015-10-04 - 2015-10-10,13
2015-10-11 - 2015-10-17,30
2015-10-18 - 2015-10-24,24
2015-10-25 - 2015-10-31,34
2015-11-01 - 2015-11-07,40
2015-11-08 - 2015-11-14,32
2015-11-15 - 2015-11-21,16
2015-11-22 - 2015-11-28,21
2015-11-29 - 2015-12-05,18
2015-12-06 - 2015-12-12,17
2015-12-13 - 2015-12-19,44
2015-12-20 - 2015-12-26,25
2015-12-27 - 2016-01-02,28


Top regions for Aston Villa F.C.
Region,Aston Villa F.C.
Kenya,100
Uganda,83
United Kingdom,76
Ireland,42
Tanzania,40
Nigeria,36
Ghana,33
Singapore,13
Indonesia,12
Norway,11
South Africa,11
Malaysia,9
Australia,7
Kazakhstan,6
Denmark,6
Sweden,6
New Zealand,6
United Arab Emirates,5
Hong Kong,5
Vietnam,5
Netherlands,5
Thailand,5
Belgium,4
Greece,4
Finland,4
Portugal,4
Colombia,3
Italy,3
Spain,3
Chile,3
France,3
Canada,2
India,2
Ukraine,2
Russia,2
Poland,2
United States,2
Germany,1
Turkey,1
Argentina,1
Mexico,1
Brazil,1


Top cities for Aston Villa F.C.
City,Aston Villa F.C.
Solihull (United Kingdom),100
Stourbridge (United Kingdom),61
West Bromwich (United Kingdom),52
Walsall (United Kingdom),50
Birmingham (United Kingdom),43
Coventry (United Kingdom),15
Nairobi (Kenya),11
Hinckley (United Kingdom),11
Kampala (Uganda),10
London (United Kingdom),7
Nottingham (United Kingdom),7
Manchester (United Kingdom),6
Liverpool (United Kingdom),6
Bristol (United Kingdom),6
Leeds (United Kingdom),5



Top searches for Aston Villa F.C.
villa,100
aston,95
aston villa,90
aston villa arsenal,10
villa liverpool,10
aston villa liverpool,5
villa vs arsenal,5
villa news,5
aston villa news,5
avfc,5
aston villa chelsea,5
aston villa fc,5
villa fixtures,5
fa cup,5
aston villa fixtures,5
tottenham aston villa,0
villa tickets,0
west ham,0
aston vila,0
newcastle aston villa,0
aston villa tickets,0
west brom,0
villa score,0
aston villa transfer,0
villa results,0
astonvilla,0
villa v liverpool,0
aston villa results,0
leicester city,0
aston villa score,0
villa news now,0
fa cup final,0
астон вилла,0
villa transfer news,0
aston villa team,0
aston villa manager,0
aston villa f.c.,0
aston villa players,0
villa rumours,0
aston villa squad,0
aston villa rumours,0



Rising searches for Aston Villa F.C.
adama traore,Breakout
tim sherwood,+1,750%
fa cup final,+1,700%
fa cup,+900%
next villa manager,+350%
avfc tickets,+110%
leicester city,+110%
aston villa manager,+90%
арсенал астон вилла,+80%
villa v liverpool,+50%



