Web Search interest: A.F.C. Bournemouth
Worldwide Past 12 months

Interest over time
Week,A.F.C. Bournemouth
2015-01-04 - 2015-01-10,12
2015-01-11 - 2015-01-17,9
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,22
2015-02-01 - 2015-02-07,9
2015-02-08 - 2015-02-14,17
2015-02-15 - 2015-02-21,8
2015-02-22 - 2015-02-28,14
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,9
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,9
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,24
2015-04-12 - 2015-04-18,22
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,85
2015-05-03 - 2015-05-09,22
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,10
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,9
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,20
2015-08-02 - 2015-08-08,49
2015-08-09 - 2015-08-15,26
2015-08-16 - 2015-08-22,100
2015-08-23 - 2015-08-29,29
2015-08-30 - 2015-09-05,15
2015-09-06 - 2015-09-12,15
2015-09-13 - 2015-09-19,17
2015-09-20 - 2015-09-26,21
2015-09-27 - 2015-10-03,17
2015-10-04 - 2015-10-10,10
2015-10-11 - 2015-10-17,20
2015-10-18 - 2015-10-24,14
2015-10-25 - 2015-10-31,59
2015-11-01 - 2015-11-07,31
2015-11-08 - 2015-11-14,10
2015-11-15 - 2015-11-21,9
2015-11-22 - 2015-11-28,18
2015-11-29 - 2015-12-05,37
2015-12-06 - 2015-12-12,63
2015-12-13 - 2015-12-19,34
2015-12-20 - 2015-12-26,25
2015-12-27 - 2016-01-02,35


Top regions for A.F.C. Bournemouth
Region,A.F.C. Bournemouth
Kenya,100
United Kingdom,79
Ireland,39
Nigeria,27
Singapore,17
South Africa,16
Malaysia,11
Australia,10
Indonesia,8
Netherlands,4
Poland,4
Canada,3
Spain,3
India,2
Italy,2
United States,2
France,2
Germany,2


Top cities for A.F.C. Bournemouth
City,A.F.C. Bournemouth
Saint Leonards (United Kingdom),100
Bournemouth (United Kingdom),65
Poole (United Kingdom),61
Southampton (United Kingdom),9
Portsmouth (United Kingdom),4
Bathford (United Kingdom),3
Nairobi (Kenya),2
Nottingham (United Kingdom),2
Norwich (United Kingdom),2
London (United Kingdom),2
Liverpool (United Kingdom),2
Brighton (United Kingdom),2
Bristol (United Kingdom),2
Birmingham (United Kingdom),2
Newcastle upon Tyne (United Kingdom),2



Top searches for A.F.C. Bournemouth
bournemouth,100
fc bournemouth,25
afc,25
afc bournemouth,20
liverpool bournemouth,10
bournemouth football,10
liverpool vs bournemouth,5
afcb,5
bournemouth fixtures,5
bbc bournemouth,5
chelsea vs bournemouth,5
bournemouth tickets,5
bournemouth results,5
liverpool v bournemouth,0
bournemouth football club,0
watford fc,0
norwich city,0
bournemouth score,0
bournemouth vs everton,0
wilson bournemouth,0
bournemouth vs watford,0
bournmouth,0
arsenal vs bournemouth,0
bournemouth echo,0
bbc sport bournemouth,0
southampton vs bournemouth,0
bournemouth vs leicester,0
bournemouth forum,0
bournemouth vs tottenham,0
newcastle vs bournemouth,0
bournemouth fc fixtures,0
bournemouth manager,0
bournemouth squad,0
борнмут,0
liverpool bournemouth highlights,0
chelsea v bournemouth,0
bournemouth vs bolton,0
afc bournemouth fixtures,0



Rising searches for A.F.C. Bournemouth
chelsea vs bournemouth,+550%
bournemouth vs everton,+400%
norwich city,+300%
watford fc,+300%



