Web Search interest: Chelsea F.C.
Worldwide Past 12 months

Interest over time
Week,Chelsea F.C.
2015-01-04 - 2015-01-10,52
2015-01-11 - 2015-01-17,41
2015-01-18 - 2015-01-24,58
2015-01-25 - 2015-01-31,74
2015-02-01 - 2015-02-07,50
2015-02-08 - 2015-02-14,42
2015-02-15 - 2015-02-21,83
2015-02-22 - 2015-02-28,36
2015-03-01 - 2015-03-07,58
2015-03-08 - 2015-03-14,100
2015-03-15 - 2015-03-21,37
2015-03-22 - 2015-03-28,35
2015-03-29 - 2015-04-04,33
2015-04-05 - 2015-04-11,37
2015-04-12 - 2015-04-18,74
2015-04-19 - 2015-04-25,45
2015-04-26 - 2015-05-02,68
2015-05-03 - 2015-05-09,49
2015-05-10 - 2015-05-16,42
2015-05-17 - 2015-05-23,38
2015-05-24 - 2015-05-30,41
2015-05-31 - 2015-06-06,36
2015-06-07 - 2015-06-13,28
2015-06-14 - 2015-06-20,32
2015-06-21 - 2015-06-27,32
2015-06-28 - 2015-07-04,37
2015-07-05 - 2015-07-11,37
2015-07-12 - 2015-07-18,47
2015-07-19 - 2015-07-25,49
2015-07-26 - 2015-08-01,68
2015-08-02 - 2015-08-08,79
2015-08-09 - 2015-08-15,46
2015-08-16 - 2015-08-22,81
2015-08-23 - 2015-08-29,70
2015-08-30 - 2015-09-05,45
2015-09-06 - 2015-09-12,40
2015-09-13 - 2015-09-19,63
2015-09-20 - 2015-09-26,48
2015-09-27 - 2015-10-03,49
2015-10-04 - 2015-10-10,33
2015-10-11 - 2015-10-17,30
2015-10-18 - 2015-10-24,42
2015-10-25 - 2015-10-31,62
2015-11-01 - 2015-11-07,53
2015-11-08 - 2015-11-14,31
2015-11-15 - 2015-11-21,28
2015-11-22 - 2015-11-28,33
2015-11-29 - 2015-12-05,40
2015-12-06 - 2015-12-12,40
2015-12-13 - 2015-12-19,80
2015-12-20 - 2015-12-26,45
2015-12-27 - 2016-01-02,49


Top regions for Chelsea F.C.
Region,Chelsea F.C.
Liberia,100
South Sudan,84
Sierra Leone,81
Kenya,56
Nigeria,55
Malawi,38
Ghana,38
Uganda,35
Zambia,30
Zimbabwe,22
Mali,21
Tanzania,17
Ethiopia,12
Côte d’Ivoire,11
Congo (DRC),11
Senegal,9
Jamaica,7
United Kingdom,5
Indonesia,5
Nepal,4
Ireland,3
Malaysia,3
South Africa,3
Thailand,3
Singapore,2
Colombia,2
Kazakhstan,2
Vietnam,2
Netherlands,2
Bolivia,2
Australia,1
United Arab Emirates,1
Portugal,1
Norway,1
Algeria,1
India,1
France,1
Egypt,1
Belgium,1
New Zealand,1
Denmark,1
Bulgaria,1
Sweden,1
Saudi Arabia,1
Bangladesh,1
Hong Kong,1
Ukraine,1
Belarus,1
United States,1
Israel,1
Czech Republic,1
Pakistan,1
Peru,1
Chile,1
Canada,1
Croatia,1
Spain,1
Switzerland,1
Morocco,1
Italy,1
Greece,1
Serbia,1
Iraq,1
Iran,1
Ecuador,1
Russia,1
Austria,1
Hungary,1
Poland,1
Brazil,1
Venezuela,1


Top cities for Chelsea F.C.
City,Chelsea F.C.
Monrovia (Liberia),100
Nairobi (Kenya),60
Lagos (Nigeria),57
Abuja (Nigeria),46
Accra (Ghana),40
Kampala (Uganda),35
Lusaka (Zambia),31
Harare (Zimbabwe),23
Dar es Salaam (Tanzania),18
Addis Ababa (Ethiopia),12
Leesburg (United States),7
London (United Kingdom),7
Amsterdam (Netherlands),5
Jakarta (Indonesia),5
Surabaya (Indonesia),4



Top searches for Chelsea F.C.
chelsea,100
chelsea vs,15
chelsea news,10
chelsea fc,10
arsenal,5
arsenal chelsea,5
psg,5
chelsea psg,5
chelsea transfer,5
chelsea liverpool,5
liverpool,5
transfer news,0
arsenal vs chelsea,0
chelsea transfer news,0
челси,0
manchester united,0
เช ล ซี,0
real madrid,0
chelsea fixtures,0
premier league,0
chelsea latest,0
man city,0
liverpool vs chelsea,0
manchester city,0
chelsea vs psg,0
chelsea fc news,0
chelsea new,0
epl,0
chelsea match,0
latest chelsea news,0
champions league,0
mourinho,0
chelsea champions league,0
chelseafc,0
chelsea score,0
チェルシー,0
chelsea f.c.,0
news now chelsea,0
chelse,0
chelsea vs barcelona,0
man utd,0
تشيلسي,0
chelsea team,0
chelsea results,0
chelsea players,0
goal,0
paris chelsea,0
messi chelsea,0
chelsea game,0
chelsea tickets,0



Rising searches for Chelsea F.C.
chelsea vs barcelona,+130%
tottenham vs chelsea,+110%
arsenal vs chelsea,+90%
messi chelsea,+80%
chelsea vs psg,+60%
chelsea f.c.,+50%
mourinho,+50%
arsenal,+40%
arsenal chelsea,+40%
chelsea psg,+40%



