Web Search interest: Leicester City F.C.
Worldwide Past 12 months

Interest over time
Week,Leicester City F.C.
2015-01-04 - 2015-01-10,12
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,9
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,12
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,9
2015-02-22 - 2015-02-28,9
2015-03-01 - 2015-03-07,9
2015-03-08 - 2015-03-14,6
2015-03-15 - 2015-03-21,7
2015-03-22 - 2015-03-28,6
2015-03-29 - 2015-04-04,7
2015-04-05 - 2015-04-11,8
2015-04-12 - 2015-04-18,10
2015-04-19 - 2015-04-25,10
2015-04-26 - 2015-05-02,32
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,10
2015-05-17 - 2015-05-23,8
2015-05-24 - 2015-05-30,8
2015-05-31 - 2015-06-06,39
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,7
2015-06-28 - 2015-07-04,10
2015-07-05 - 2015-07-11,8
2015-07-12 - 2015-07-18,9
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,9
2015-08-02 - 2015-08-08,15
2015-08-09 - 2015-08-15,17
2015-08-16 - 2015-08-22,20
2015-08-23 - 2015-08-29,14
2015-08-30 - 2015-09-05,9
2015-09-06 - 2015-09-12,7
2015-09-13 - 2015-09-19,22
2015-09-20 - 2015-09-26,25
2015-09-27 - 2015-10-03,14
2015-10-04 - 2015-10-10,8
2015-10-11 - 2015-10-17,9
2015-10-18 - 2015-10-24,11
2015-10-25 - 2015-10-31,16
2015-11-01 - 2015-11-07,17
2015-11-08 - 2015-11-14,13
2015-11-15 - 2015-11-21,19
2015-11-22 - 2015-11-28,60
2015-11-29 - 2015-12-05,38
2015-12-06 - 2015-12-12,28
2015-12-13 - 2015-12-19,100
2015-12-20 - 2015-12-26,71
2015-12-27 - 2016-01-02,68


Top regions for Leicester City F.C.
Region,Leicester City F.C.
Kenya,100
United Kingdom,50
Uganda,50
Algeria,31
Tanzania,28
Ireland,24
Nigeria,24
Singapore,15
South Africa,12
Malaysia,12
Indonesia,12
Croatia,9
Hong Kong,9
Norway,9
United Arab Emirates,7
Australia,6
New Zealand,6
Thailand,6
Denmark,5
Netherlands,5
Pakistan,4
Austria,4
Vietnam,4
Sweden,4
Italy,4
South Korea,4
Switzerland,3
Chile,3
Saudi Arabia,3
Spain,3
India,3
Canada,3
Philippines,3
Colombia,2
Germany,2
France,2
Poland,2
United States,2
Argentina,1
Mexico,1
Turkey,1
Russia,1
Japan,1
Brazil,1


Top cities for Leicester City F.C.
City,Leicester City F.C.
Leicester (United Kingdom),100
Hinckley (United Kingdom),90
Sileby (United Kingdom),87
Nairobi (Kenya),10
Nottingham (United Kingdom),9
Birmingham (United Kingdom),5
London (United Kingdom),4
Sheffield (United Kingdom),4
Manchester (United Kingdom),4
Liverpool (United Kingdom),4
Leeds (United Kingdom),3
Lagos (Nigeria),3
Dublin (Ireland),2
Singapore (Singapore),1
Surabaya (Indonesia),1



Top searches for Leicester City F.C.
leicester,100
leicester city,65
chelsea leicester,10
arsenal leicester,5
leicester fc,5
leicester liverpool,5
lcfc,5
chelsea vs leicester,5
leicester football,5
leicester city video,5
leicester players,5
leicester city fc,5
leicester city chelsea,5
leicester manchester united,5
leicester city players,5
leicester fixtures,5
leicester city football,5
leicester vs arsenal,5
liverpool vs leicester,5
everton,5
leicester city fixtures,5
aston villa,5
vardy,0
vardy leicester,0
leicester results,0
leicester city news,0
watford leicester,0
everton vs leicester,0
mahrez,0
mahrez leicester,0
tottenham vs leicester,0
leicester football club,0
leicester manager,0
leicester score,0
newcastle vs leicester,0
ليستر سيتي,0
chelsea v leicester,0
swansea vs leicester,0
leicester city results,0
jamie vardy,0
leicester city f.c.,0



Rising searches for Leicester City F.C.
leicester city video,+1,800%
leicester city players,+550%
leicester players,+450%
vardy,+300%
vardy leicester,+300%
chelsea vs leicester,+70%
chelsea leicester,+60%
leicester city chelsea,+50%
aston villa,+40%



