Web Search interest: Newcastle United F.C.
Worldwide Past 12 months

Interest over time
Week,Newcastle United F.C.
2015-01-11 - 2015-01-17,44
2015-01-18 - 2015-01-24,24
2015-01-25 - 2015-01-31,28
2015-02-01 - 2015-02-07,26
2015-02-08 - 2015-02-14,35
2015-02-15 - 2015-02-21,38
2015-02-22 - 2015-02-28,33
2015-03-01 - 2015-03-07,75
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,57
2015-03-22 - 2015-03-28,22
2015-03-29 - 2015-04-04,19
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,59
2015-04-19 - 2015-04-25,42
2015-04-26 - 2015-05-02,32
2015-05-03 - 2015-05-09,39
2015-05-10 - 2015-05-16,34
2015-05-17 - 2015-05-23,29
2015-05-24 - 2015-05-30,47
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,20
2015-06-14 - 2015-06-20,20
2015-06-21 - 2015-06-27,17
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,29
2015-07-19 - 2015-07-25,33
2015-07-26 - 2015-08-01,36
2015-08-02 - 2015-08-08,35
2015-08-09 - 2015-08-15,49
2015-08-16 - 2015-08-22,100
2015-08-23 - 2015-08-29,84
2015-08-30 - 2015-09-05,27
2015-09-06 - 2015-09-12,18
2015-09-13 - 2015-09-19,54
2015-09-20 - 2015-09-26,76
2015-09-27 - 2015-10-03,65
2015-10-04 - 2015-10-10,33
2015-10-11 - 2015-10-17,22
2015-10-18 - 2015-10-24,43
2015-10-25 - 2015-10-31,51
2015-11-01 - 2015-11-07,26
2015-11-08 - 2015-11-14,16
2015-11-15 - 2015-11-21,23
2015-11-22 - 2015-11-28,24
2015-11-29 - 2015-12-05,27
2015-12-06 - 2015-12-12,70
2015-12-13 - 2015-12-19,57
2015-12-20 - 2015-12-26,47
2015-12-27 - 2016-01-02,68
2016-01-03 - 2016-01-09, 

Interest over time
Week,Team Sports,Newcastle United F.C.
2015-01-11 - 2015-01-17,+0%,+0%
2015-01-18 - 2015-01-24,+0%,-45%
2015-01-25 - 2015-01-31,-6%,-36%
2015-02-01 - 2015-02-07,+4%,-41%
2015-02-08 - 2015-02-14,-12%,-20%
2015-02-15 - 2015-02-21,+0%,-14%
2015-02-22 - 2015-02-28,-2%,-25%
2015-03-01 - 2015-03-07,-2%,+70%
2015-03-08 - 2015-03-14,+7%,-59%
2015-03-15 - 2015-03-21,+13%,+30%
2015-03-22 - 2015-03-28,+4%,-50%
2015-03-29 - 2015-04-04,-14%,-57%
2015-04-05 - 2015-04-11,+0%,+0%
2015-04-12 - 2015-04-18,+4%,+34%
2015-04-19 - 2015-04-25,+7%,-5%
2015-04-26 - 2015-05-02,+7%,-27%
2015-05-03 - 2015-05-09,+8%,-11%
2015-05-10 - 2015-05-16,+10%,-23%
2015-05-17 - 2015-05-23,-2%,-34%
2015-05-24 - 2015-05-30,-1%,+7%
2015-05-31 - 2015-06-06,-4%,-52%
2015-06-07 - 2015-06-13,+0%,-55%
2015-06-14 - 2015-06-20,-2%,-55%
2015-06-21 - 2015-06-27,-10%,-61%
2015-06-28 - 2015-07-04,-12%,-57%
2015-07-05 - 2015-07-11,-11%,-43%
2015-07-12 - 2015-07-18,-12%,-34%
2015-07-19 - 2015-07-25,-13%,-25%
2015-07-26 - 2015-08-01,-12%,-18%
2015-08-02 - 2015-08-08,-10%,-20%
2015-08-09 - 2015-08-15,-1%,+11%
2015-08-16 - 2015-08-22,+0%,+127%
2015-08-23 - 2015-08-29,+2%,+91%
2015-08-30 - 2015-09-05,+0%,-39%
2015-09-06 - 2015-09-12,-1%,-59%
2015-09-13 - 2015-09-19,+13%,+23%
2015-09-20 - 2015-09-26,+13%,+73%
2015-09-27 - 2015-10-03,+11%,+48%
2015-10-04 - 2015-10-10,+11%,-25%
2015-10-11 - 2015-10-17,+20%,-50%
2015-10-18 - 2015-10-24,+16%,-2%
2015-10-25 - 2015-10-31,+12%,+16%
2015-11-01 - 2015-11-07,+10%,-41%
2015-11-08 - 2015-11-14,-1%,-64%
2015-11-15 - 2015-11-21,+0%,-48%
2015-11-22 - 2015-11-28,+5%,-45%
2015-11-29 - 2015-12-05,-2%,-39%
2015-12-06 - 2015-12-12,+0%,+59%
2015-12-13 - 2015-12-19,-5%,+30%
2015-12-20 - 2015-12-26,-8%,+7%
2015-12-27 - 2016-01-02,-4%,+55%
2016-01-03 - 2016-01-09, , 


Top regions for Newcastle United F.C.
Region,Newcastle United F.C.
Kenya,100
United Kingdom,47
Nigeria,26
Ireland,23
Singapore,13
South Africa,10
Indonesia,9
Norway,8
Australia,8
Malaysia,8
Netherlands,5
Thailand,3
Sweden,3
Vietnam,2
Spain,2
India,2
Canada,2
United States,1
Italy,1
France,1
Russia,1
Germany,1
Mexico,1
Turkey,1
Brazil,1


Top cities for Newcastle United F.C.
City,Newcastle United F.C.
North Shields (United Kingdom),100
Gateshead (United Kingdom),100
South Shields (United Kingdom),99
Newcastle upon Tyne (United Kingdom),54
Esh Winning (United Kingdom),46
Nairobi (Kenya),10
Kampala (Uganda),6
Manchester (United Kingdom),5
Leeds (United Kingdom),5
Birmingham (United Kingdom),5
Edinburgh (United Kingdom),5
Sheffield (United Kingdom),4
Nottingham (United Kingdom),4
London (United Kingdom),4
Liverpool (United Kingdom),4



Top searches for Newcastle United F.C.
newcastle,100
newcastle united,45
newcastle vs,25
arsenal newcastle,10
chelsea newcastle,5
newcastle liverpool,5
newcastle fc,5
newcastle fixtures,5
arsenal vs newcastle,5
newcastle football,5
city vs newcastle,5
manchester united newcastle,5
chelsea vs newcastle,5
newcastle utd,5
newcastle vs liverpool,5
west ham newcastle,5
west ham,5
newcastle everton,5
man city newcastle,5
newcastle tottenham,5
man utd newcastle,5
newcastle united fixtures,5
manchester city newcastle,0
newcastle united fc,0
sunderland vs newcastle,0
newcastle tickets,0
newcastle score,0
newcastle newsnow,0
everton vs newcastle,0
stoke city,0
newcastle vs tottenham,0
newcastle manager,0
newcastle united f.c.,0
newcastle vs stoke,0
hull city,0
nufc,0
newcastle vs southampton,0
newcastle squad,0
newcastle united news,0
sky sports newcastle,0
bbc sport newcastle,0



Rising searches for Newcastle United F.C.
newcastle fixtures 2015,+550%
newcastle united f.c.,+100%
newcastle united manager,+100%
sunderland fixtures,+90%
newcastle manager,+50%
newcastle soccerway,+40%
newcastle vs southampton,+40%



