Web Search interest: Southampton F.C.
Worldwide Past 12 months

Interest over time
Week,Southampton F.C.
2015-01-04 - 2015-01-10,35
2015-01-11 - 2015-01-17,100
2015-01-18 - 2015-01-24,34
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,44
2015-02-08 - 2015-02-14,32
2015-02-15 - 2015-02-21,20
2015-02-22 - 2015-02-28,58
2015-03-01 - 2015-03-07,26
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,45
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,19
2015-04-05 - 2015-04-11,19
2015-04-12 - 2015-04-18,19
2015-04-19 - 2015-04-25,27
2015-04-26 - 2015-05-02,20
2015-05-03 - 2015-05-09,18
2015-05-10 - 2015-05-16,29
2015-05-17 - 2015-05-23,21
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,14
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,24
2015-07-19 - 2015-07-25,24
2015-07-26 - 2015-08-01,27
2015-08-02 - 2015-08-08,35
2015-08-09 - 2015-08-15,48
2015-08-16 - 2015-08-22,29
2015-08-23 - 2015-08-29,29
2015-08-30 - 2015-09-05,27
2015-09-06 - 2015-09-12,18
2015-09-13 - 2015-09-19,20
2015-09-20 - 2015-09-26,83
2015-09-27 - 2015-10-03,42
2015-10-04 - 2015-10-10,29
2015-10-11 - 2015-10-17,19
2015-10-18 - 2015-10-24,17
2015-10-25 - 2015-10-31,46
2015-11-01 - 2015-11-07,27
2015-11-08 - 2015-11-14,14
2015-11-15 - 2015-11-21,15
2015-11-22 - 2015-11-28,22
2015-11-29 - 2015-12-05,71
2015-12-06 - 2015-12-12,18
2015-12-13 - 2015-12-19,19
2015-12-20 - 2015-12-26,51
2015-12-27 - 2016-01-02,96


Top regions for Southampton F.C.
Region,Southampton F.C.
Kenya,100
Uganda,67
United Kingdom,51
Tanzania,26
Nigeria,25
Ireland,23
Singapore,14
Netherlands,11
Malaysia,11
Indonesia,11
South Africa,10
Norway,10
Hong Kong,7
Kazakhstan,7
Denmark,7
Australia,6
New Zealand,6
Vietnam,5
Thailand,5
United Arab Emirates,5
Portugal,5
Sweden,5
Belgium,4
Greece,3
Switzerland,3
Austria,3
Spain,3
Italy,3
India,3
Romania,3
Canada,2
Poland,2
France,2
Ukraine,2
Germany,2
Colombia,2
Russia,2
United States,2
Turkey,1
Mexico,1
Brazil,1
Japan,1


Top cities for Southampton F.C.
City,Southampton F.C.
Totton (United Kingdom),100
Southampton (United Kingdom),61
Portsmouth (United Kingdom),17
Bournemouth (United Kingdom),16
Nairobi (Kenya),9
Kampala (Uganda),6
Brighton (United Kingdom),4
Cardiff (United Kingdom),4
London (United Kingdom),4
Bristol (United Kingdom),4
Liverpool (United Kingdom),4
Newcastle upon Tyne (United Kingdom),3
Birmingham (United Kingdom),3
Manchester (United Kingdom),3
Leeds (United Kingdom),2



Top searches for Southampton F.C.
southampton,100
fc southampton,20
liverpool southampton,10
arsenal southampton,5
chelsea southampton,5
liverpool vs southampton,5
southampton manchester united,5
southampton football,5
chelsea vs southampton,5
southamton,5
arsenal vs southampton,5
saints fc,5
everton,5
southhampton,5
newcastle southampton,5
southampton fixtures,5
man utd southampton,5
aston villa,0
crystal palace,0
саутгемптон,0
southampton results,0
liverpool v southampton,0
southampton vs newcastle,0
southampton vs everton,0
southampton vs tottenham,0
southampton score,0
southampton saints,0
southampton vs swansea,0
southampton f.c.,0
southampton football club,0
southampton fc fixtures,0
sunderland vs southampton,0
เซาแธมป์ตัน,0
southampton players,0
mane southampton,0
mu vs southampton,0
pelle southampton,0
southampton squad,0
saintsfc,0



Rising searches for Southampton F.C.
mane southampton,+120%
crystal palace,+70%
southampton f.c.,+70%
southampton vs newcastle,+60%
southampton vs swansea,+60%
chelsea vs southampton,+50%
liverpool vs southampton,+50%
chelsea southampton,+40%
chelsea v southampton,+40%
liverpool southampton,+40%



