Web Search interest: Stoke City F.C.
Worldwide Past 12 months

Interest over time
Week,Stoke City F.C.
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,46
2015-01-18 - 2015-01-24,12
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,14
2015-02-08 - 2015-02-14,33
2015-02-15 - 2015-02-21,15
2015-02-22 - 2015-02-28,14
2015-03-01 - 2015-03-07,17
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,13
2015-03-22 - 2015-03-28,10
2015-03-29 - 2015-04-04,39
2015-04-05 - 2015-04-11,34
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,12
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,16
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,12
2015-05-24 - 2015-05-30,40
2015-05-31 - 2015-06-06,10
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,11
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,15
2015-07-05 - 2015-07-11,13
2015-07-12 - 2015-07-18,22
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,19
2015-08-02 - 2015-08-08,30
2015-08-09 - 2015-08-15,100
2015-08-16 - 2015-08-22,26
2015-08-23 - 2015-08-29,22
2015-08-30 - 2015-09-05,14
2015-09-06 - 2015-09-12,34
2015-09-13 - 2015-09-19,24
2015-09-20 - 2015-09-26,19
2015-09-27 - 2015-10-03,15
2015-10-04 - 2015-10-10,11
2015-10-11 - 2015-10-17,10
2015-10-18 - 2015-10-24,29
2015-10-25 - 2015-10-31,55
2015-11-01 - 2015-11-07,46
2015-11-08 - 2015-11-14,23
2015-11-15 - 2015-11-21,14
2015-11-22 - 2015-11-28,15
2015-11-29 - 2015-12-05,47
2015-12-06 - 2015-12-12,24
2015-12-13 - 2015-12-19,19
2015-12-20 - 2015-12-26,73
2015-12-27 - 2016-01-02,86


Top regions for Stoke City F.C.
Region,Stoke City F.C.
Kenya,100
Uganda,60
United Kingdom,33
Nigeria,32
Ghana,27
Tanzania,27
Ireland,17
Singapore,12
South Africa,10
Norway,9
Indonesia,9
Switzerland,8
Malaysia,7
Austria,7
Kazakhstan,6
Denmark,5
Australia,5
Sweden,4
Netherlands,4
Vietnam,4
Portugal,4
Canada,3
Spain,3
Chile,2
Italy,2
Ukraine,2
Thailand,2
India,2
Germany,2
Colombia,2
France,2
Russia,1
United States,1
Poland,1
Turkey,1
Mexico,1
Brazil,1


Top cities for Stoke City F.C.
City,Stoke City F.C.
Stoke-on-Trent (United Kingdom),100
Tittensor (United Kingdom),81
Congleton (United Kingdom),31
Nairobi (Kenya),9
Kampala (Uganda),5
Liverpool (United Kingdom),3
Manchester (United Kingdom),3
Birmingham (United Kingdom),3
Lagos (Nigeria),3
London (United Kingdom),2
Sheffield (United Kingdom),2
Leeds (United Kingdom),2
Dublin (Ireland),1
Singapore (Singapore),1
Jakarta (Indonesia),1



Top searches for Stoke City F.C.
stoke,100
stoke city,50
stoke chelsea,10
liverpool stoke,10
arsenal stoke,10
chelsea vs stoke,5
stoke city chelsea,5
stoke fc,5
stoke vs liverpool,5
arsenal vs stoke,5
stoke manchester city,5
everton,5
stoke city fc,5
liverpool stoke city,5
everton stoke,5
stoke man city,5
arsenal stoke city,5
stoke manchester united,5
swansea stoke,5
stoke fixtures,5
aston villa,0
leicester city,0
crystal palace,0
stock city,0
everton vs stoke,0
stoke results,0
stoke city fixtures,0
stoke goal,0
stoke city news,0
сток сити,0
swansea vs stoke,0
stoke score,0
shaqiri,0
shaqiri stoke,0
newcastle vs stoke,0
chelsea v stoke,0
liverpool v stoke,0
tottenham vs stoke,0
stoke vs southampton,0
stoke city results,0
scfc,0
stoke players,0



Rising searches for Stoke City F.C.
shaqiri,Breakout
shaqiri stoke,Breakout
shaqiri stoke city,Breakout
leicester city,+120%
arsenal stoke highlights,+60%
everton vs stoke,+50%
stoke city roster,+50%
arnautovic,+40%
arnautovic stoke,+40%
everton v stoke,+40%



