Web Search interest: Swansea City A.F.C.
Worldwide Past 12 months

Interest over time
Week,Swansea City A.F.C.
2015-01-11 - 2015-01-17,43
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,26
2015-02-08 - 2015-02-14,14
2015-02-15 - 2015-02-21,48
2015-02-22 - 2015-02-28,23
2015-03-01 - 2015-03-07,23
2015-03-08 - 2015-03-14,9
2015-03-15 - 2015-03-21,46
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,11
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,9
2015-05-10 - 2015-05-16,45
2015-05-17 - 2015-05-23,29
2015-05-24 - 2015-05-30,9
2015-05-31 - 2015-06-06,6
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,8
2015-06-21 - 2015-06-27,7
2015-06-28 - 2015-07-04,7
2015-07-05 - 2015-07-11,7
2015-07-12 - 2015-07-18,11
2015-07-19 - 2015-07-25,10
2015-07-26 - 2015-08-01,11
2015-08-02 - 2015-08-08,67
2015-08-09 - 2015-08-15,46
2015-08-16 - 2015-08-22,22
2015-08-23 - 2015-08-29,27
2015-08-30 - 2015-09-05,100
2015-09-06 - 2015-09-12,17
2015-09-13 - 2015-09-19,22
2015-09-20 - 2015-09-26,19
2015-09-27 - 2015-10-03,13
2015-10-04 - 2015-10-10,24
2015-10-11 - 2015-10-17,8
2015-10-18 - 2015-10-24,31
2015-10-25 - 2015-10-31,34
2015-11-01 - 2015-11-07,22
2015-11-08 - 2015-11-14,8
2015-11-15 - 2015-11-21,10
2015-11-22 - 2015-11-28,11
2015-11-29 - 2015-12-05,43
2015-12-06 - 2015-12-12,35
2015-12-13 - 2015-12-19,19
2015-12-20 - 2015-12-26,33
2015-12-27 - 2016-01-02,61
2016-01-03 - 2016-01-09, 

Interest over time
Week,Team Sports,Swansea City A.F.C.
2015-01-11 - 2015-01-17,+0%,+0%
2015-01-18 - 2015-01-24,+0%,-30%
2015-01-25 - 2015-01-31,-6%,-74%
2015-02-01 - 2015-02-07,+4%,-40%
2015-02-08 - 2015-02-14,-12%,-67%
2015-02-15 - 2015-02-21,+0%,+12%
2015-02-22 - 2015-02-28,-2%,-47%
2015-03-01 - 2015-03-07,-2%,-47%
2015-03-08 - 2015-03-14,+7%,-79%
2015-03-15 - 2015-03-21,+13%,+7%
2015-03-22 - 2015-03-28,+4%,-81%
2015-03-29 - 2015-04-04,-14%,-74%
2015-04-05 - 2015-04-11,+0%,-58%
2015-04-12 - 2015-04-18,+4%,-72%
2015-04-19 - 2015-04-25,+7%,-74%
2015-04-26 - 2015-05-02,+7%,-70%
2015-05-03 - 2015-05-09,+8%,-79%
2015-05-10 - 2015-05-16,+10%,+5%
2015-05-17 - 2015-05-23,-2%,-33%
2015-05-24 - 2015-05-30,-1%,-79%
2015-05-31 - 2015-06-06,-4%,-86%
2015-06-07 - 2015-06-13,+0%,-81%
2015-06-14 - 2015-06-20,-2%,-81%
2015-06-21 - 2015-06-27,-10%,-84%
2015-06-28 - 2015-07-04,-12%,-84%
2015-07-05 - 2015-07-11,-11%,-84%
2015-07-12 - 2015-07-18,-12%,-74%
2015-07-19 - 2015-07-25,-13%,-77%
2015-07-26 - 2015-08-01,-12%,-74%
2015-08-02 - 2015-08-08,-10%,+56%
2015-08-09 - 2015-08-15,-1%,+7%
2015-08-16 - 2015-08-22,+0%,-49%
2015-08-23 - 2015-08-29,+2%,-37%
2015-08-30 - 2015-09-05,+0%,+133%
2015-09-06 - 2015-09-12,-1%,-60%
2015-09-13 - 2015-09-19,+13%,-49%
2015-09-20 - 2015-09-26,+13%,-56%
2015-09-27 - 2015-10-03,+11%,-70%
