Web Search interest: Tottenham Hotspur F.C.
Worldwide Past 12 months

Interest over time
Week,Tottenham Hotspur F.C.
2015-01-04 - 2015-01-10,41
2015-01-11 - 2015-01-17,36
2015-01-18 - 2015-01-24,34
2015-01-25 - 2015-01-31,35
2015-02-01 - 2015-02-07,55
2015-02-08 - 2015-02-14,57
2015-02-15 - 2015-02-21,34
2015-02-22 - 2015-02-28,47
2015-03-01 - 2015-03-07,69
2015-03-08 - 2015-03-14,23
2015-03-15 - 2015-03-21,45
2015-03-22 - 2015-03-28,18
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,26
2015-04-12 - 2015-04-18,16
2015-04-19 - 2015-04-25,27
2015-04-26 - 2015-05-02,20
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,21
2015-05-17 - 2015-05-23,19
2015-05-24 - 2015-05-30,30
2015-05-31 - 2015-06-06,20
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,21
2015-07-05 - 2015-07-11,27
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,33
2015-08-02 - 2015-08-08,100
2015-08-09 - 2015-08-15,41
2015-08-16 - 2015-08-22,32
2015-08-23 - 2015-08-29,37
2015-08-30 - 2015-09-05,27
2015-09-06 - 2015-09-12,17
2015-09-13 - 2015-09-19,32
2015-09-20 - 2015-09-26,64
2015-09-27 - 2015-10-03,29
2015-10-04 - 2015-10-10,23
2015-10-11 - 2015-10-17,37
2015-10-18 - 2015-10-24,24
2015-10-25 - 2015-10-31,24
2015-11-01 - 2015-11-07,43
2015-11-08 - 2015-11-14,42
2015-11-15 - 2015-11-21,17
2015-11-22 - 2015-11-28,41
2015-11-29 - 2015-12-05,42
2015-12-06 - 2015-12-12,27
2015-12-13 - 2015-12-19,31
2015-12-20 - 2015-12-26,26
2015-12-27 - 2016-01-02,48


Top regions for Tottenham Hotspur F.C.
Region,Tottenham Hotspur F.C.
Kenya,100
United Kingdom,90
Uganda,83
Zimbabwe,54
Mauritius,44
Ireland,41
Tanzania,37
Nigeria,36
Ghana,34
Jamaica,30
Ethiopia,29
Cyprus,24
Norway,23
Singapore,22
Indonesia,18
Malaysia,17
South Africa,17
Denmark,16
Australia,16
New Zealand,11
Azerbaijan,10
Sweden,10
Vietnam,10
Kazakhstan,9
Belgium,9
United Arab Emirates,8
Hong Kong,8
Egypt,7
South Korea,7
Algeria,7
Italy,7
Netherlands,6
Greece,6
Bulgaria,6
Portugal,6
Serbia,6
Canada,6
Finland,5
Croatia,5
Israel,5
Spain,5
United States,5
Thailand,4
Austria,4
Colombia,4
Switzerland,4
Hungary,4
France,4
Saudi Arabia,4
Bolivia,4
Czech Republic,4
Chile,3
Morocco,3
India,3
Peru,3
Romania,3
Pakistan,3
Ukraine,3
Poland,3
Russia,3
Argentina,3
Germany,3
Turkey,3
Iran,2
Brazil,2
Venezuela,2
Philippines,2
Mexico,2
Japan,1


Top cities for Tottenham Hotspur F.C.
City,Tottenham Hotspur F.C.
London (United Kingdom),100
Nairobi (Kenya),87
Brighton (United Kingdom),76
Cambridge (United Kingdom),72
Norwich (United Kingdom),68
Manchester (United Kingdom),45
Birmingham (United Kingdom),44
Dublin (Ireland),34
Lagos (Nigeria),32
Singapore (Singapore),18
Jakarta (Indonesia),17
Sydney (Australia),17
Kuala Lumpur (Malaysia),15
Surabaya (Indonesia),14
Melbourne (Australia),13



Top searches for Tottenham Hotspur F.C.
tottenham,100
spurs,25
tottenham hotspur,10
chelsea,10
arsenal,10
chelsea tottenham,10
tottenham arsenal,5
tottenham liverpool,5
tottenham news,5
totenham,5
chelsea vs tottenham,5
tottenham fc,5
arsenal vs tottenham,5
manchester united tottenham,5
tottenham spurs,5
tottenham transfer,5
spurs news,5
tottenham fixtures,5
tottenham vs liverpool,0
man city,0
everton,0
tottenham transfer news,0
real madrid tottenham,0
newsnow tottenham,0
tottenham west ham,0
hotspurs,0
fiorentina,0
tottenham tickets,0
tottenham hotspurs,0
тоттенхэм,0
spurs fixtures,0
توتنهام,0
tottenham hotspur f.c.,0
tottenham fiorentina,0
tottenham results,0
kane tottenham,0
tottenham score,0
harry kane,0
thfc,0
tottenham players,0
chelsea v tottenham,0
tottenham hotspur fc,0



Rising searches for Tottenham Hotspur F.C.
harry kane,+400%
kane tottenham,+350%
tottenham fiorentina,+350%
fiorentina,+300%
chelsea vs tottenham,+110%
real madrid tottenham,+110%
tottenham hotspur f.c.,+80%
chelsea,+70%
chelsea tottenham,+70%
توتنهام,+60%



