Web Search interest: Watford F.C.
Worldwide Past 12 months

Interest over time
Week,Watford F.C.
2015-01-04 - 2015-01-10,50
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,14
2015-02-01 - 2015-02-07,8
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,10
2015-02-22 - 2015-02-28,11
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,20
2015-04-19 - 2015-04-25,24
2015-04-26 - 2015-05-02,31
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,9
2015-05-17 - 2015-05-23,10
2015-05-24 - 2015-05-30,13
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,21
2015-08-02 - 2015-08-08,38
2015-08-09 - 2015-08-15,28
2015-08-16 - 2015-08-22,21
2015-08-23 - 2015-08-29,39
2015-08-30 - 2015-09-05,20
2015-09-06 - 2015-09-12,17
2015-09-13 - 2015-09-19,21
2015-09-20 - 2015-09-26,17
2015-09-27 - 2015-10-03,28
2015-10-04 - 2015-10-10,12
2015-10-11 - 2015-10-17,42
2015-10-18 - 2015-10-24,24
2015-10-25 - 2015-10-31,20
2015-11-01 - 2015-11-07,21
2015-11-08 - 2015-11-14,13
2015-11-15 - 2015-11-21,56
2015-11-22 - 2015-11-28,27
2015-11-29 - 2015-12-05,18
2015-12-06 - 2015-12-12,20
2015-12-13 - 2015-12-19,19
2015-12-20 - 2015-12-26,100
2015-12-27 - 2016-01-02,94


Top regions for Watford F.C.
Region,Watford F.C.
Kenya,100
United Kingdom,47
Nigeria,31
Ireland,20
Singapore,10
South Africa,10
Indonesia,7
Malaysia,6
Australia,5
Sweden,5
Netherlands,4
Italy,4
Mexico,4
Spain,3
Vietnam,3
Canada,2
India,2
Russia,2
Germany,1
France,1
United States,1
Brazil,1


Top cities for Watford F.C.
City,Watford F.C.
Bushey (United Kingdom),100
Watford (United Kingdom),91
Saint Albans (United Kingdom),48
Hemel Hempstead (United Kingdom),46
Harpenden (United Kingdom),25
Luton (United Kingdom),9
Nairobi (Kenya),5
Kampala (Uganda),3
London (United Kingdom),3
Norwich (United Kingdom),3
Birmingham (United Kingdom),2
Liverpool (United Kingdom),2
Manchester (United Kingdom),2
Lagos (Nigeria),2
Leeds (United Kingdom),2



Top searches for Watford F.C.
watford,100
fc watford,25
chelsea watford,10
watford football,5
chelsea vs watford,5
watford vs arsenal,5
watford leicester,5
watford fixtures,5
watford premier league,5
bbc watford,5
liverpool vs watford,5
watford tickets,0
watford results,0
everton vs watford,0
watford vs leicester,0
watford manager,0
уотфорд,0
norwich city,0
watford fc fixtures,0
watford football club,0
watford score,0
bournemouth fc,0
watford forum,0
chelsea v watford,0
watford vs swansea,0
watford observer,0
watford vs southampton,0
watford fc news,0
newcastle vs watford,0
bournemouth vs watford,0
watford fc tickets,0
layun,0
layun watford,0
watford vs tottenham,0
watford v liverpool,0
sunderland vs watford,0
watford twitter,0
watford v arsenal,0



Rising searches for Watford F.C.
chelsea vs watford,+950%
watford vs arsenal,+900%
liverpool vs watford,+750%
chelsea watford,+450%
watford premier league,+300%



