matchDate,matchId,team,teamNo,Attack,Teamplay,Aggressiveness,Accuracy,Pressure,googleTrendsIndex
2015-08-09,341187,Arsenal,1,2,3,2,3,3,27
2015-08-16,341198,Arsenal,1,2,3,2,3,2,22
2015-08-24,341207,Arsenal,1,2,3,1,2,3,24
2015-08-29,341222,Arsenal,1,3,3,2,3,3,24
2015-09-12,341227,Arsenal,1,3,3,1,3,3,19
2015-09-19,341239,Arsenal,1,2,2,2,2,1,41
2015-09-26,341247,Arsenal,1,2,2,2,3,1,43
2015-10-04,341257,Arsenal,1,3,2,2,2,1,21
2015-10-17,341275,Arsenal,1,3,3,2,2,3,17
2015-10-24,341277,Arsenal,1,2,2,2,3,3,46
2015-10-31,341293,Arsenal,1,2,2,1,2,2,46
2015-11-08,341297,Arsenal,1,2,2,1,2,2,19
2015-11-21,341316,Arsenal,1,2,3,2,3,3,16
2015-12-05,341327,Arsenal,1,3,3,1,3,3,32
2015-11-29,341323,Arsenal,1,2,3,1,3,3,32
2015-12-13,341337,Arsenal,1,2,2,1,1,2,23
2015-08-08,341188,A Villa,2,1,2,3,3,1,36
2015-08-14,341197,A Villa,2,2,2,2,1,2,100
2015-08-22,341208,A Villa,2,2,2,3,3,2,31
2015-08-29,341217,A Villa,2,2,2,2,3,3,32
2015-09-13,341230,A Villa,2,2,2,2,2,2,33
2015-09-19,341237,A Villa,2,1,2,2,2,1,33
2015-09-26,341248,A Villa,2,2,2,1,2,1,44
2015-10-03,341258,A Villa,2,2,2,2,2,3,24
2015-10-17,341267,A Villa,2,1,2,3,2,2,30
2015-10-24,341278,A Villa,2,2,2,2,3,2,24
2015-11-02,341294,A Villa,2,2,1,3,1,1,40
2015-11-08,341298,A Villa,2,1,2,1,1,2,32
2015-11-21,341309,A Villa,2,2,2,1,1,2,16
2015-11-28,341317,A Villa,2,2,2,1,2,3,21
2015-12-05,341332,A Villa,2,1,1,2,2,1,18
2015-12-13,341337,A Villa,2,2,2,1,2,3,44
2015-08-08,341188,B'mouth,3,1,3,3,3,2,49
2015-08-17,341199,B'mouth,3,1,2,3,3,2,100
2015-08-22,341216,B'mouth,3,3,2,2,3,2,100
2015-08-29,341218,B'mouth,3,2,2,2,2,1,29
2015-09-12,341232,B'mouth,3,2,2,3,2,2,15
2015-09-19,341238,B'mouth,3,2,2,2,2,2,17
2015-09-26,341252,B'mouth,3,2,2,1,1,1,21
2015-10-03,341259,B'mouth,3,2,2,2,1,2,17
2015-10-17,341270,B'mouth,3,2,2,1,1,2,20
2015-10-25,341279,B'mouth,3,2,2,1,2,2,59
2015-11-01,341292,B'mouth,3,2,2,1,2,3,31
2015-11-07,341299,B'mouth,3,3,3,2,2,3,31
