matchDate,matchId,team,teamNo,passes,shotsOnTarget,shotsOffTarget,corners,foulsConceded,accuratePasses,goals,foulsWon,possession,offSide,yellowCards,popularity
2015-08-09,341187,Arsenal,1,556,6,7,5,12,87,0,9,61.8,3,1,75
2015-08-16,341198,Arsenal,1,564,7,6,6,12,85,2,14,59.2,2,1,69
2015-08-24,341207,Arsenal,1,667,5,9,7,2,85,0,12,65.7,5,1,96
2015-08-29,341222,Arsenal,1,777,9,6,9,8,92,1,15,73.7,2,1,96
2015-09-12,341227,Arsenal,1,628,12,9,13,6,87,2,13,67.6,3,1,31
2015-09-19,341239,Arsenal,1,360,2,4,5,11,78,0,11,37.1,3,2,60
2015-09-26,341247,Arsenal,1,532,12,2,5,12,86,5,9,58,2,1,48
2015-10-04,341257,Arsenal,1,389,5,5,3,8,80,3,17,37.8,2,1,51
2015-10-17,341275,Arsenal,1,627,6,5,9,12,88,3,11,66.7,4,1,32
2015-10-24,341277,Arsenal,1,527,5,9,7,11,85,2,13,56.2,0,2,77
2015-10-31,341293,Arsenal,1,461,5,7,4,7,84,3,12,45.8,1,0,46
2015-11-08,341297,Arsenal,1,458,4,5,7,12,75,1,16,54.9,1,0,39
2015-11-21,341316,Arsenal,1,684,3,7,5,10,86,1,13,73,1,2,29
2015-11-29,341323,Arsenal,1,626,3,5,6,6,87,1,8,63.4,2,1,39
2015-12-05,341327,Arsenal,1,712,7,4,3,7,87,3,11,72.5,1,1,39
2015-12-13,341337,Arsenal,1,522,4,3,5,7,84,2,8,54.2,5,0,44
2015-12-26,341363,Arsenal,1,571,5,3,4,9,85,0,10,64.8,1,0,83
2015-12-21,341347,Arsenal,1,386,5,3,4,5,78,2,15,37.3,3,0,83
2016-01-02,341377,Arsenal,1,468,3,10,7,10,85,1,8,51,2,2,65
2015-12-28,341367,Arsenal,1,530,6,4,9,7,85,2,8,51.4,1,2,65
2015-08-08,341188,A Villa,2,391,3,2,3,13,79,1,13,41.6,0,4,35
2015-08-14,341197,A Villa,2,441,1,3,3,14,81,0,10,45.6,4,2,100
2015-08-22,341208,A Villa,2,363,2,6,4,15,78,1,12,50.1,0,3,30
2015-08-29,341217,A Villa,2,523,6,11,5,10,84,2,14,62,0,2,30
2015-09-13,341230,A Villa,2,416,4,3,5,13,75,2,8,51.3,1,1,31
2015-09-19,341237,A Villa,2,451,3,5,2,10,77,0,10,59.8,2,2,31
